EXPERIMENT SUMMARY
Max Linear Speed (m/s)	0.500
Max Angular Speed (rad/s)	0.800
Recharge Trips	2
Cylinders Visited	55/100

TIMING DATA
Total Simulation Time (s)	1565.548
Total Dwelling Time (s)	275.000
Total Travel Time Between Cylinders (s)	1272.347
Total Time To Reach Stations (s)	38.298
Total Charging Time (s)	0.000
Dwelling Time Per Cylinder (s)	5.000

BATTERY DATA
Total Battery Spent To Reach Stations (%)	4.518

RECHARGE TRIPS
Trip #	Trip Start (s)	Arrive (s)	Time To Station (s)	Battery Start (%)	Battery At Arrival (%)	Battery Spent To Station (%)	Charge Start (s)	Charge End (s)	Charging Time (s)	Battery End (%)	Battery Gain (%)
2	1148.203	1186.501	38.298	24.993	20.475	4.518		1565.548	0.000	76.832	0.000

RECHARGE STATIONS
Station #	X	Y
1	0.000	4.000
2	0.000	-4.000
3	49.000	4.000
4	49.000	-4.000
5	-49.000	-4.000

ALL CYLINDERS
Cylinder #	X	Y
1	19.671	1.878
2	6.039	2.540
3	-28.262	-0.302
4	21.218	0.129
5	-4.074	0.308
6	-32.450	-0.639
7	-12.975	-2.121
8	-17.910	-2.813
9	18.641	-1.274
10	-44.196	0.774
11	7.671	-0.918
12	29.063	-2.430
13	39.051	-0.963
14	36.823	1.853
15	-36.507	3.076
16	-26.040	-1.071
17	25.860	-1.939
18	-20.018	-2.661
19	32.483	2.518
20	-24.050	0.882
21	-37.588	-1.010
22	20.596	-3.104
23	-41.764	3.159
24	-39.927	2.141
25	-33.369	2.755
26	43.208	1.807
27	1.394	1.054
28	31.454	-2.945
29	-2.391	-2.941
30	-17.870	1.831
31	-31.225	1.151
32	-8.615	-1.519
33	-21.046	1.822
34	44.775	-0.276
35	43.284	-2.276
36	-14.348	2.536
37	-28.049	-2.634
38	-5.690	-1.061
39	30.323	2.283
40	9.157	-3.183
41	32.318	-1.099
42	14.594	2.233
43	16.031	-0.533
44	-30.254	-2.376
45	-10.396	3.069
46	-38.132	-2.990
47	3.236	-1.807
48	15.845	-3.128
49	4.248	0.310
50	-1.344	0.933
51	-46.096	-2.100
52	35.195	-0.928
53	10.122	1.458
54	13.615	-1.626
55	40.638	-2.366
56	3.630	2.481
57	-18.571	-0.129
58	22.833	-2.989
59	-14.876	-1.482
60	40.933	0.292
61	39.393	2.047
62	-34.700	0.476
63	26.365	3.141
64	23.901	-0.643
65	-40.181	-0.224
66	0.603	-2.724
67	45.219	-2.926
68	10.049	-1.188
69	23.329	1.787
70	8.588	3.198
71	-45.155	2.721
72	12.468	0.290
73	28.159	-0.500
74	-47.634	-0.420
75	5.659	-2.813
76	11.982	-2.945
77	-42.892	-2.343
78	-9.930	0.907
79	-21.961	-3.219
80	-7.650	0.513
81	-48.094	-3.216
82	-6.849	2.418
83	-30.542	3.175
84	47.624	0.381
85	-47.950	3.041
86	34.480	-2.943
87	-35.281	-1.957
88	-22.514	-0.844
89	-12.094	1.490
90	-1.578	3.040
91	-28.030	1.800
92	35.114	3.072
93	47.347	2.439
94	-26.195	2.804
95	-32.556	-3.182
96	-23.893	2.979
97	17.703	2.862
98	47.090	-1.770
99	-13.600	0.148
100	-40.973	-3.112

VISITED CYLINDERS
Visit #	X	Y	Travel Time (s)
1	-48.131	3.145	19.905
2	-45.346	2.770	21.658
3	-44.334	0.922	23.442
4	-47.481	-0.283	20.346
5	-46.138	-1.900	10.152
6	-48.238	-3.376	229.101
7	-46.329	-2.087	37.149
8	-47.624	-0.624	8.004
9	-47.851	-4.950	31.893
10	-43.079	-2.412	22.100
11	-41.175	-3.104	15.355
12	-40.305	-0.385	14.395
13	-38.306	-2.885	12.900
14	-37.748	-1.139	8.904
15	-35.488	-1.956	11.149
16	-34.820	0.328	12.603
17	-32.653	-0.642	11.196
18	-32.653	-3.003	13.449
19	-30.458	-2.346	12.499
20	-31.253	0.958	16.600
21	-28.464	-0.290	13.253
22	-28.157	1.637	8.148
23	-30.434	3.009	13.601
24	-26.400	2.764	31.698
25	-24.234	0.978	19.700
26	-24.037	2.835	6.201
27	-25.978	-0.877	15.750
28	-22.695	-0.776	14.150
29	-22.054	-3.047	16.099
30	-20.217	-2.628	11.408
31	-18.730	-0.249	13.796
32	-18.051	-2.670	9.897
33	-15.078	-1.500	13.649
34	-13.763	0.031	23.553
35	-13.133	-1.988	16.059
36	-12.217	1.329	31.141
37	-10.127	0.853	11.355
38	-10.469	2.882	12.142
39	-7.842	0.582	30.553
40	-7.025	2.313	8.901
41	-8.574	-1.322	20.150
42	-5.877	-1.003	14.247
43	-4.266	0.253	10.249
44	0.484	-2.895	206.103
45	-2.198	-3.001	12.502
46	-1.334	0.729	17.546
47	1.218	0.944	13.700
48	-1.482	2.858	16.851
49	-3.889	0.391	24.498
50	-6.651	2.357	16.302
51	-7.477	0.618	10.148
52	-5.759	-0.861	11.750
53	-8.452	-1.392	13.451
54	-9.759	0.794	16.849
55	-10.296	2.904	14.052
