time_s	event
19.272000000000002	charging_start
19.487000000000002	charging_stop
19.899	BATTERY_CHARGING_START
19.900000000000002	BATTERY_CHARGING_STOP
20.582	charging_start
20.583000000000002	BATTERY_CHARGING_START
20.787000000000003	charging_stop
20.787000000000003	BATTERY_CHARGING_STOP
30.602	DEPART_REQUEST_RECEIVED
30.602	DEPART_START
31.651000000000003	DEPART_COMPLETE
31.966	charging_start
31.967000000000002	BATTERY_CHARGING_START
32.237	charging_stop
32.237	BATTERY_CHARGING_STOP
35.349000000000004	charging_start
35.349000000000004	BATTERY_CHARGING_START
35.542	charging_stop
35.542	BATTERY_CHARGING_STOP
49.102000000000004	DEPART_REQUEST_RECEIVED
49.103	DEPART_START
50.150000000000006	DEPART_COMPLETE
71.15100000000001	DEPART_REQUEST_RECEIVED
71.152	DEPART_START
72.20100000000001	DEPART_COMPLETE
86.90100000000001	DEPART_REQUEST_RECEIVED
86.902	DEPART_START
87.95	DEPART_COMPLETE
105.85100000000001	DEPART_REQUEST_RECEIVED
105.852	DEPART_START
106.90100000000001	DEPART_COMPLETE
129.101	DEPART_REQUEST_RECEIVED
129.101	DEPART_START
130.151	DEPART_COMPLETE
138.251	NAVIGATION_PAUSED_ON
138.251	AVOID_ACTIVE_ON
140.251	NAVIGATION_PAUSED_OFF
140.252	AVOID_ACTIVE_OFF
142.252	NAVIGATION_PAUSED_ON
142.25300000000001	AVOID_ACTIVE_ON
144.252	NAVIGATION_PAUSED_OFF
144.252	AVOID_ACTIVE_OFF
145.65200000000002	NAVIGATION_PAUSED_ON
145.65200000000002	AVOID_ACTIVE_ON
147.65200000000002	NAVIGATION_PAUSED_OFF
147.65300000000002	AVOID_ACTIVE_OFF
150.45100000000002	NAVIGATION_PAUSED_ON
150.452	AVOID_ACTIVE_ON
152.453	NAVIGATION_PAUSED_OFF
152.453	AVOID_ACTIVE_OFF
154.651	NAVIGATION_PAUSED_ON
154.65200000000002	AVOID_ACTIVE_ON
156.651	NAVIGATION_PAUSED_OFF
156.651	AVOID_ACTIVE_OFF
157.651	NAVIGATION_PAUSED_ON
157.65200000000002	AVOID_ACTIVE_ON
163.05200000000002	NAVIGATION_PAUSED_OFF
163.05200000000002	AVOID_ACTIVE_OFF
163.80100000000002	NAVIGATION_PAUSED_ON
163.80200000000002	AVOID_ACTIVE_ON
165.80200000000002	NAVIGATION_PAUSED_OFF
165.80200000000002	AVOID_ACTIVE_OFF
166.55200000000002	NAVIGATION_PAUSED_ON
166.55200000000002	AVOID_ACTIVE_ON
168.55100000000002	NAVIGATION_PAUSED_OFF
168.55200000000002	AVOID_ACTIVE_OFF
170.851	NAVIGATION_PAUSED_ON
170.852	AVOID_ACTIVE_ON
178.401	NAVIGATION_PAUSED_OFF
178.40200000000002	AVOID_ACTIVE_OFF
182.851	NAVIGATION_PAUSED_ON
182.852	AVOID_ACTIVE_ON
184.851	NAVIGATION_PAUSED_OFF
184.852	AVOID_ACTIVE_OFF
186.252	NAVIGATION_PAUSED_ON
186.252	AVOID_ACTIVE_ON
188.252	NAVIGATION_PAUSED_OFF
188.252	AVOID_ACTIVE_OFF
189.001	NAVIGATION_PAUSED_ON
189.002	AVOID_ACTIVE_ON
191.00300000000001	NAVIGATION_PAUSED_OFF
191.00400000000002	AVOID_ACTIVE_OFF
193.651	NAVIGATION_PAUSED_ON
193.651	AVOID_ACTIVE_ON
195.651	NAVIGATION_PAUSED_OFF
195.651	AVOID_ACTIVE_OFF
197.05200000000002	NAVIGATION_PAUSED_ON
197.05200000000002	AVOID_ACTIVE_ON
199.05300000000003	NAVIGATION_PAUSED_OFF
199.05300000000003	AVOID_ACTIVE_OFF
201.251	NAVIGATION_PAUSED_ON
201.251	AVOID_ACTIVE_ON
203.252	NAVIGATION_PAUSED_OFF
