time_s	event
94.40100000000001	NAVIGATION_PAUSED_OFF
94.402	AVOID_ACTIVE_OFF
96.453	NAVIGATION_PAUSED_ON
96.453	AVOID_ACTIVE_ON
100.602	NAVIGATION_PAUSED_OFF
100.602	AVOID_ACTIVE_OFF
114.95200000000001	DEPART_REQUEST_RECEIVED
114.95200000000001	DEPART_START
116.001	DEPART_COMPLETE
135.70100000000002	DEPART_REQUEST_RECEIVED
135.703	DEPART_START
136.751	DEPART_COMPLETE
150.102	DEPART_REQUEST_RECEIVED
150.102	DEPART_START
151.151	DEPART_COMPLETE
164.95100000000002	DEPART_REQUEST_RECEIVED
164.952	DEPART_START
166.001	DEPART_COMPLETE
169.65200000000002	NAVIGATION_PAUSED_ON
169.65200000000002	AVOID_ACTIVE_ON
171.65200000000002	NAVIGATION_PAUSED_OFF
171.65200000000002	AVOID_ACTIVE_OFF
172.401	NAVIGATION_PAUSED_ON
172.401	AVOID_ACTIVE_ON
176.202	NAVIGATION_PAUSED_OFF
176.203	AVOID_ACTIVE_OFF
176.952	NAVIGATION_PAUSED_ON
176.952	AVOID_ACTIVE_ON
178.953	NAVIGATION_PAUSED_OFF
178.953	AVOID_ACTIVE_OFF
187.502	DEPART_REQUEST_RECEIVED
187.50300000000001	DEPART_START
188.55200000000002	DEPART_COMPLETE
189.251	NAVIGATION_PAUSED_ON
189.251	AVOID_ACTIVE_ON
192.001	NAVIGATION_PAUSED_OFF
192.001	AVOID_ACTIVE_OFF
193.651	NAVIGATION_PAUSED_ON
193.65200000000002	AVOID_ACTIVE_ON
196.40200000000002	NAVIGATION_PAUSED_OFF
196.40200000000002	AVOID_ACTIVE_OFF
198.452	NAVIGATION_PAUSED_ON
198.452	AVOID_ACTIVE_ON
201.601	NAVIGATION_PAUSED_OFF
201.602	AVOID_ACTIVE_OFF
203.05100000000002	NAVIGATION_PAUSED_ON
203.05200000000002	AVOID_ACTIVE_ON
207.401	NAVIGATION_PAUSED_OFF
207.40200000000002	AVOID_ACTIVE_OFF
208.651	NAVIGATION_PAUSED_ON
208.65200000000002	AVOID_ACTIVE_ON
210.65200000000002	NAVIGATION_PAUSED_OFF
210.65200000000002	AVOID_ACTIVE_OFF
211.40200000000002	NAVIGATION_PAUSED_ON
211.40200000000002	AVOID_ACTIVE_ON
215.40400000000002	NAVIGATION_PAUSED_OFF
215.405	AVOID_ACTIVE_OFF
217.05300000000003	NAVIGATION_PAUSED_ON
217.054	AVOID_ACTIVE_ON
219.10100000000003	NAVIGATION_PAUSED_OFF
219.102	AVOID_ACTIVE_OFF
220.453	NAVIGATION_PAUSED_ON
220.453	AVOID_ACTIVE_ON
222.453	NAVIGATION_PAUSED_OFF
222.453	AVOID_ACTIVE_OFF
223.252	NAVIGATION_PAUSED_ON
223.252	AVOID_ACTIVE_ON
227.40200000000002	NAVIGATION_PAUSED_OFF
227.40300000000002	AVOID_ACTIVE_OFF
228.852	NAVIGATION_PAUSED_ON
228.853	AVOID_ACTIVE_ON
233.20200000000003	NAVIGATION_PAUSED_OFF
233.20200000000003	AVOID_ACTIVE_OFF
235.453	NAVIGATION_PAUSED_ON
235.453	AVOID_ACTIVE_ON
237.45200000000003	NAVIGATION_PAUSED_OFF
237.45200000000003	AVOID_ACTIVE_OFF
239.251	NAVIGATION_PAUSED_ON
239.251	AVOID_ACTIVE_ON
241.252	NAVIGATION_PAUSED_OFF
241.252	AVOID_ACTIVE_OFF
242.85100000000003	NAVIGATION_PAUSED_ON
242.852	AVOID_ACTIVE_ON
244.852	NAVIGATION_PAUSED_OFF
244.852	AVOID_ACTIVE_OFF
246.45100000000002	NAVIGATION_PAUSED_ON
246.45100000000002	AVOID_ACTIVE_ON
248.45100000000002	NAVIGATION_PAUSED_OFF
248.45200000000003	AVOID_ACTIVE_OFF
250.651	NAVIGATION_PAUSED_ON
250.65200000000002	AVOID_ACTIVE_ON
252.651	NAVIGATION_PAUSED_OFF
252.651	AVOID_ACTIVE_OFF
254.05200000000002	NAVIGATION_PAUSED_ON
254.05200000000002	AVOID_ACTIVE_ON
256.052	NAVIGATION_PAUSED_OFF
256.053	AVOID_ACTIVE_OFF
258.25300000000004	NAVIGATION_PAUSED_ON
258.25300000000004	AVOID_ACTIVE_ON
260.25300000000004	NAVIGATION_PAUSED_OFF
260.254	AVOID_ACTIVE_OFF
261.451	NAVIGATION_PAUSED_ON
261.452	AVOID_ACTIVE_ON
263.451	NAVIGATION_PAUSED_OFF
263.451	AVOID_ACTIVE_OFF
265.451	NAVIGATION_PAUSED_ON
265.451	AVOID_ACTIVE_ON
267.45300000000003	NAVIGATION_PAUSED_OFF
267.45300000000003	AVOID_ACTIVE_OFF
268.85200000000003	NAVIGATION_PAUSED_ON
268.85200000000003	AVOID_ACTIVE_ON
270.85400000000004	NAVIGATION_PAUSED_OFF
270.85400000000004	AVOID_ACTIVE_OFF
272.85400000000004	NAVIGATION_PAUSED_ON
272.85400000000004	AVOID_ACTIVE_ON
274.85200000000003	NAVIGATION_PAUSED_OFF
274.853	AVOID_ACTIVE_OFF
275.601	NAVIGATION_PAUSED_ON
275.601	AVOID_ACTIVE_ON
279.802	NAVIGATION_PAUSED_OFF
279.803	AVOID_ACTIVE_OFF
282.85400000000004	NAVIGATION_PAUSED_ON
282.85400000000004	AVOID_ACTIVE_ON
284.85200000000003	NAVIGATION_PAUSED_OFF
284.85200000000003	AVOID_ACTIVE_OFF
286.65200000000004	NAVIGATION_PAUSED_ON
286.653	AVOID_ACTIVE_ON
288.65200000000004	NAVIGATION_PAUSED_OFF
288.65200000000004	AVOID_ACTIVE_OFF
290.252	NAVIGATION_PAUSED_ON
290.25300000000004	AVOID_ACTIVE_ON
292.252	NAVIGATION_PAUSED_OFF
292.252	AVOID_ACTIVE_OFF
294.254	NAVIGATION_PAUSED_ON
294.254	AVOID_ACTIVE_ON
296.25100000000003	NAVIGATION_PAUSED_OFF
296.252	AVOID_ACTIVE_OFF
298.252	NAVIGATION_PAUSED_ON
298.252	AVOID_ACTIVE_ON
300.25100000000003	NAVIGATION_PAUSED_OFF
300.25100000000003	AVOID_ACTIVE_OFF
302.451	NAVIGATION_PAUSED_ON
302.451	AVOID_ACTIVE_ON
304.452	NAVIGATION_PAUSED_OFF
304.45300000000003	AVOID_ACTIVE_OFF
306.651	NAVIGATION_PAUSED_ON
306.651	AVOID_ACTIVE_ON
310.80100000000004	NAVIGATION_PAUSED_OFF
310.80100000000004	AVOID_ACTIVE_OFF
312.452	NAVIGATION_PAUSED_ON
312.452	AVOID_ACTIVE_ON
314.452	NAVIGATION_PAUSED_OFF
314.452	AVOID_ACTIVE_OFF
