time_s	score	extra_distance	margin	obj_distance	obj_to_charger_distance	predicted_drain	battery_pct	decision_mode_code
467.15000000000003	nan	nan	nan	nan	nan	0.013234940357506275	0.24999766051769257	2.0
550.951	nan	nan	nan	nan	nan	0.003903751727193594	0.9800297021865845	0.0
1004.5010000000001	nan	nan	nan	nan	nan	0.0029215391259640455	0.24982737004756927	2.0
1093.3	nan	nan	nan	nan	nan	0.0029389935079962015	0.980817437171936	0.0
1607.951	1.3913205862045288	0.028736114501953125	0.16457432508468628	2.813554048538208	0.8800838589668274	0.0014210921945050359	0.24982333183288574	1.0
1608.0	1.3913205862045288	0.028736114501953125	0.16457432508468628	2.813554048538208	0.8800838589668274	0.0014210921945050359	0.24982333183288574	1.0
1608.0500000000002	1.3913205862045288	0.028736114501953125	0.16457432508468628	2.813554048538208	0.8800838589668274	0.0014210921945050359	0.24946211278438568	1.0
1608.101	1.3913205862045288	0.028736114501953125	0.16457432508468628	2.813554048538208	0.8800838589668274	0.0014210921945050359	0.249406099319458	1.0
1608.151	1.3913205862045288	0.028736114501953125	0.16457432508468628	2.813554048538208	0.8800838589668274	0.0014210921945050359	0.249406099319458	1.0
1608.2	1.3913205862045288	0.028736114501953125	0.16457432508468628	2.813554048538208	0.8800838589668274	0.0014210921945050359	0.2490956038236618	1.0
1608.25	1.3913205862045288	0.028736114501953125	0.16457432508468628	2.813554048538208	0.8800838589668274	0.0014210921945050359	0.2490956038236618	1.0
1608.3000000000002	1.3913205862045288	0.028736114501953125	0.16457432508468628	2.813554048538208	0.8800838589668274	0.0014210921945050359	0.24878086149692535	1.0
1608.3500000000001	1.3913205862045288	0.028736114501953125	0.16457432508468628	2.813554048538208	0.8800838589668274	0.0014210921945050359	0.24878086149692535	1.0
1608.4	1.3913205862045288	0.028736114501953125	0.16457432508468628	2.813554048538208	0.8800838589668274	0.0014210921945050359	0.24875301122665405	1.0
1608.45	1.3913205862045288	0.028736114501953125	0.16457432508468628	2.813554048538208	0.8800838589668274	0.0014210921945050359	0.24875301122665405	1.0
1608.5	1.3913205862045288	0.028736114501953125	0.16457432508468628	2.813554048538208	0.8800838589668274	0.0014210921945050359	0.2486887276172638	1.0
1608.5500000000002	1.3913205862045288	0.028736114501953125	0.16457432508468628	2.813554048538208	0.8800838589668274	0.0014210921945050359	0.2486887276172638	1.0
1608.6000000000001	1.3913205862045288	0.028736114501953125	0.16457432508468628	2.813554048538208	0.8800838589668274	0.0014210921945050359	0.24864870309829712	1.0
1608.651	1.3913205862045288	0.028736114501953125	0.16457432508468628	2.813554048538208	0.8800838589668274	0.0014210921945050359	0.24862055480480194	1.0
