time_s	battery_pct	charge_ah	voltage	current
28.478	1.0	1.0	12.0	40.0
28.669	0.9993072152137756	0.9993072152137756	12.0	-7.7153544425964355
28.67	0.9987155199050903	0.9987155199050903	12.0	-6.925604343414307
28.76	0.9986136555671692	0.9986136555671692	12.0	-3.8960676193237305
28.851000000000003	0.9985055923461914	0.9985055923461914	12.0	-3.8960676193237305
28.945	0.9981200098991394	0.9981200098991394	12.0	-13.884894371032715
29.037000000000003	0.9977341294288635	0.9977341294288635	12.0	-13.884894371032715
29.131	0.9973480701446533	0.9973480701446533	12.0	-13.884895324707031
29.223000000000003	0.9969499707221985	0.9969499707221985	12.0	-14.3567476272583
29.311000000000003	0.996574878692627	0.996574878692627	12.0	-13.507285118103027
29.404000000000003	0.9961843490600586	0.9961843490600586	12.0	-14.04448413848877
29.493000000000002	0.9958012700080872	0.9958012700080872	12.0	-13.775897979736328
29.586000000000002	0.9954259991645813	0.9954259991645813	12.0	-13.507285118103027
29.671000000000003	0.9950444102287292	0.9950444102287292	12.0	-13.763984680175781
29.956000000000003	0.9946686625480652	0.9946686625480652	12.0	-13.51205062866211
29.958000000000002	0.9934852123260498	0.9934852123260498	12.0	-13.569997787475586
30.038	0.9931644797325134	0.9931644797325134	12.0	-13.445558547973633
30.131	0.9927808046340942	0.9927808046340942	12.0	-13.796645164489746
30.225	0.9924050569534302	0.9924050569534302	12.0	-13.520421981811523
30.313000000000002	0.9920359253883362	0.9920359253883362	12.0	-13.286938667297363
30.406000000000002	0.9916666150093079	0.9916666150093079	12.0	-13.296087265014648
30.498	0.991361677646637	0.991361677646637	12.0	-10.980283737182617
30.592000000000002	0.9909921884536743	0.9909921884536743	12.0	-13.296087265014648
30.683000000000003	0.9906206727027893	0.9906206727027893	12.0	-13.402971267700195
30.776000000000003	0.9902583360671997	0.9902583360671997	12.0	-13.037351608276367
30.868000000000002	0.9899213314056396	0.9899213314056396	12.0	-12.123817443847656
30.96	0.9897302389144897	0.9897302389144897	12.0	-6.876845836639404
31.051000000000002	0.9895475506782532	0.9895475506782532	12.0	-6.579354286193848
31.146	0.9893367290496826	0.9893367290496826	12.0	-7.5945916175842285
31.239	0.9891894459724426	0.9891894459724426	12.0	-5.304317474365234
31.328000000000003	0.9889829754829407	0.9889829754829407	12.0	-7.423534393310547
31.42	0.9888098239898682	0.9888098239898682	12.0	-6.221019744873047
31.515	0.988662838935852	0.988662838935852	12.0	-5.304317474365234
31.606	0.9885061979293823	0.9885061979293823	12.0	-5.63338041305542
31.696	0.9883304834365845	0.9883304834365845	12.0	-6.33452033996582
31.790000000000003	0.9881927967071533	0.9881927967071533	12.0	-4.950767993927002
31.884	0.9880553483963013	0.9880553483963013	12.0	-4.950767993927002
31.974000000000004	0.9879560470581055	0.9879560470581055	12.0	-3.5716309547424316
32.065000000000005	0.9878110885620117	0.9878110885620117	12.0	-5.229465961456299
32.157000000000004	0.9876930713653564	0.9876930713653564	12.0	-4.236545085906982
32.242000000000004	0.9875486493110657	0.9875486493110657	12.0	-5.205009460449219
32.331	0.9874451160430908	0.9874451160430908	12.0	-3.7335503101348877
32.419000000000004	0.9874172806739807	0.9874172806739807	12.0	-1.0002784729003906
32.504000000000005	0.9873895049095154	0.9873895049095154	12.0	-1.0002784729003906
32.588	0.9872899055480957	0.9872899055480957	12.0	-3.5848255157470703
32.676	0.9872616529464722	0.9872616529464722	12.0	-1.0171738862991333
32.765	0.9872338771820068	0.9872338771820068	12.0	-1.0
32.857	0.9872060418128967	0.9872060418128967	12.0	-1.0
32.946000000000005	0.9871783256530762	0.9871783256530762	12.0	-1.0
33.037	0.9871505498886108	0.9871505498886108	12.0	-1.0
33.131	0.9871227741241455	0.9871227741241455	12.0	-1.0
33.228	0.9870949983596802	0.9870949983596802	12.0	-1.0
33.306000000000004	0.9870671033859253	0.9870671033859253	12.0	-1.0
33.401	0.9870393872261047	0.9870393872261047	12.0	-1.0
33.496	0.9870116710662842	0.9870116710662842	12.0	-1.0
33.583000000000006	0.9869838953018188	0.9869838953018188	12.0	-1.0
33.677	0.9869560599327087	0.9869560599327087	12.0	-1.0
33.766000000000005	0.9869283437728882	0.9869283437728882	12.0	-1.0
33.859	0.9869005084037781	0.9869005084037781	12.0	-1.0
33.949000000000005	0.986872673034668	0.986872673034668	12.0	-1.0
34.041000000000004	0.9868450164794922	0.9868450164794922	12.0	-1.0
34.132000000000005	0.9868172407150269	0.9868172407150269	12.0	-1.0
34.224000000000004	0.9867894649505615	0.9867894649505615	12.0	-1.0
34.317	0.9867616295814514	0.9867616295814514	12.0	-1.0
34.411	0.9867339134216309	0.9867339134216309	12.0	-1.0
34.506	0.9867060780525208	0.9867060780525208	12.0	-1.0
34.598	0.9866783618927002	0.9866783618927002	12.0	-1.0
34.690000000000005	0.9866505265235901	0.9866505265235901	12.0	-1.0
34.784	0.9866227507591248	0.9866227507591248	12.0	-1.0
34.874	0.9865949153900146	0.9865949153900146	12.0	-1.0
34.965	0.9865671992301941	0.9865671992301941	12.0	-1.0
35.055	0.9865394234657288	0.9865394234657288	12.0	-1.0
35.148	0.9865116477012634	0.9865116477012634	12.0	-1.0
35.242000000000004	0.9864839315414429	0.9864839315414429	12.0	-1.0
35.336000000000006	0.9864561557769775	0.9864561557769775	12.0	-1.0
35.429	0.9864283204078674	0.9864283204078674	12.0	-1.0
35.521	0.9864004850387573	0.9864004850387573	12.0	-1.0
35.614000000000004	0.9863726496696472	0.9863726496696472	12.0	-1.0
35.705000000000005	0.9863449931144714	0.9863449931144714	12.0	-1.0
35.798	0.9863172173500061	0.9863172173500061	12.0	-1.0
35.89	0.9862894415855408	0.9862894415855408	12.0	-1.0
35.981	0.9862616658210754	0.9862616658210754	12.0	-1.0
36.072	0.9862338900566101	0.9862338900566101	12.0	-1.0
36.168	0.9862060546875	0.9862060546875	12.0	-1.0
36.257000000000005	0.9861783385276794	0.9861783385276794	12.0	-1.0
36.349000000000004	0.9861505031585693	0.9861505031585693	12.0	-1.0
36.443000000000005	0.9861226677894592	0.9861226677894592	12.0	-1.0
36.536	0.9860950112342834	0.9860950112342834	12.0	-1.0
36.629000000000005	0.9860671758651733	0.9860671758651733	12.0	-1.0
36.722	0.986039400100708	0.986039400100708	12.0	-1.0
36.814	0.9860116839408875	0.9860116839408875	12.0	-1.0
36.907000000000004	0.9859838485717773	0.9859838485717773	12.0	-1.0
36.997	0.985956072807312	0.985956072807312	12.0	-1.0
37.086000000000006	0.9859283566474915	0.9859283566474915	12.0	-1.0
37.178000000000004	0.9859005808830261	0.9859005808830261	12.0	-1.0
37.265	0.985872745513916	0.985872745513916	12.0	-1.0
37.357	0.9858431220054626	0.9858431220054626	12.0	-1.0679607391357422
37.447	0.9858153462409973	0.9858153462409973	12.0	-1.0
37.54	0.9857040047645569	0.9857040047645569	12.0	-3.9999780654907227
37.631	0.9855929613113403	0.9855929613113403	12.0	-3.9999775886535645
37.722	0.9854819774627686	0.9854819774627686	12.0	-3.999976396560669
37.814	0.9853707551956177	0.9853707551956177	12.0	-3.999976634979248
37.906000000000006	0.9852597713470459	0.9852597713470459	12.0	-3.999976396560669
37.999	0.9851484894752502	0.9851484894752502	12.0	-3.999976396560669
38.09	0.9850373864173889	0.9850373864173889	12.0	-3.9999771118164062
38.183	0.984926164150238	0.984926164150238	12.0	-3.9999771118164062
38.277	0.9848152995109558	0.9848152995109558	12.0	-3.9999771118164062
38.372	0.9847041964530945	0.9847041964530945	12.0	-3.9999771118164062
38.465	0.9845430850982666	0.9845430850982666	12.0	-5.80125617980957
38.558	0.9843438267707825	0.9843438267707825	12.0	-7.1561970710754395
38.654	0.984149158000946	0.984149158000946	12.0	-7.02215576171875
38.749	0.9840379953384399	0.9840379953384399	12.0	-3.9999773502349854
38.838	0.9839268326759338	0.9839268326759338	12.0	-3.9999773502349854
38.933	0.9837659001350403	0.9837659001350403	12.0	-5.80125617980957
39.023	0.9835683703422546	0.9835683703422546	12.0	-7.09306001663208
39.117000000000004	0.98340904712677	0.98340904712677	12.0	-5.749279499053955
39.209	0.9832788109779358	0.9832788109779358	12.0	-4.6865434646606445
39.300000000000004	0.9831588864326477	0.9831588864326477	12.0	-4.320917129516602
39.394000000000005	0.9830510020256042	0.9830510020256042	12.0	-3.877432346343994
39.487	0.9829233884811401	0.9829233884811401	12.0	-4.600289821624756
39.580000000000005	0.9827927947044373	0.9827927947044373	12.0	-4.6865434646606445
39.668	0.9826448559761047	0.9826448559761047	12.0	-5.33632755279541
39.755	0.9825145602226257	0.9825145602226257	12.0	-4.6865434646606445
39.849000000000004	0.9823359847068787	0.9823359847068787	12.0	-6.4400787353515625
39.941	0.9821876883506775	0.9821876883506775	12.0	-5.33632755279541
40.033	0.9820966124534607	0.9820966124534607	12.0	-3.271925210952759
40.127	0.981852650642395	0.981852650642395	12.0	-8.796187400817871
40.219	0.9815137982368469	0.9815137982368469	12.0	-12.211061477661133
40.309000000000005	0.9811245203018188	0.9811245203018188	12.0	-14.011736869812012
40.402	0.9807345271110535	0.9807345271110535	12.0	-14.028741836547852
40.497	0.9806102514266968	0.9806102514266968	12.0	-4.478614807128906
40.59	0.9802745580673218	0.9802745580673218	12.0	-11.868082046508789
40.679	0.9799507856369019	0.9799507856369019	12.0	-11.875020027160645
40.772000000000006	0.9796037077903748	0.9796037077903748	12.0	-12.490941047668457
40.862	0.9792026877403259	0.9792026877403259	12.0	-14.437551498413086
40.953	0.9787834882736206	0.9787834882736206	12.0	-15.098047256469727
41.043	0.9784535765647888	0.9784535765647888	12.0	-11.875020027160645
41.138000000000005	0.9781392216682434	0.9781392216682434	12.0	-11.298920631408691
41.232	0.9778265357017517	0.9778265357017517	12.0	-11.248934745788574
41.322	0.9774079918861389	0.9774079918861389	12.0	-15.069177627563477
41.413000000000004	0.9770945310592651	0.9770945310592651	12.0	-11.297808647155762
41.506	0.9767760634422302	0.9767760634422302	12.0	-11.455897331237793
41.598000000000006	0.9763469099998474	0.9763469099998474	12.0	-15.431160926818848
41.690000000000005	0.9760292768478394	0.9760292768478394	12.0	-11.455897331237793
41.779	0.9756324291229248	0.9756324291229248	12.0	-14.283123970031738
41.871	0.9751995205879211	0.9751995205879211	12.0	-15.586261749267578
41.964000000000006	0.9747740030288696	0.9747740030288696	12.0	-15.339679718017578
42.058	0.9743450284004211	0.9743450284004211	12.0	-15.431160926818848
42.152	0.9740484952926636	0.9740484952926636	12.0	-10.654021263122559
