time_s	event
28.478	charging_start
28.478	BATTERY_CHARGING_START
28.669	charging_stop
28.67	BATTERY_CHARGING_STOP
37.252	DEPART_REQUEST_RECEIVED
37.252	DEPART_START
38.301	DEPART_COMPLETE
51.601000000000006	DEPART_REQUEST_RECEIVED
51.601000000000006	DEPART_START
52.651	DEPART_COMPLETE
64.101	DEPART_REQUEST_RECEIVED
64.101	DEPART_START
65.102	DEPART_COMPLETE
77.802	DEPART_REQUEST_RECEIVED
77.802	DEPART_START
78.851	DEPART_COMPLETE
89.00200000000001	DEPART_REQUEST_RECEIVED
89.00200000000001	DEPART_START
90.051	DEPART_COMPLETE
104.20100000000001	DEPART_REQUEST_RECEIVED
104.20200000000001	DEPART_START
105.251	DEPART_COMPLETE
117.301	DEPART_REQUEST_RECEIVED
117.302	DEPART_START
118.352	DEPART_COMPLETE
130.20100000000002	DEPART_REQUEST_RECEIVED
130.20100000000002	DEPART_START
131.25	DEPART_COMPLETE
141.35000000000002	DEPART_REQUEST_RECEIVED
141.351	DEPART_START
142.35500000000002	DEPART_COMPLETE
146.851	NAVIGATION_PAUSED_ON
146.852	AVOID_ACTIVE_ON
148.853	NAVIGATION_PAUSED_OFF
148.853	AVOID_ACTIVE_OFF
150.05200000000002	NAVIGATION_PAUSED_ON
150.05200000000002	AVOID_ACTIVE_ON
152.05100000000002	NAVIGATION_PAUSED_OFF
152.05200000000002	AVOID_ACTIVE_OFF
153.251	NAVIGATION_PAUSED_ON
153.252	AVOID_ACTIVE_ON
155.25	NAVIGATION_PAUSED_OFF
155.25	AVOID_ACTIVE_OFF
156.001	NAVIGATION_PAUSED_ON
156.001	AVOID_ACTIVE_ON
158.001	NAVIGATION_PAUSED_OFF
158.001	AVOID_ACTIVE_OFF
160.851	NAVIGATION_PAUSED_ON
160.851	AVOID_ACTIVE_ON
162.852	NAVIGATION_PAUSED_OFF
162.852	AVOID_ACTIVE_OFF
163.601	NAVIGATION_PAUSED_ON
163.601	AVOID_ACTIVE_ON
165.602	NAVIGATION_PAUSED_OFF
165.602	AVOID_ACTIVE_OFF
166.851	NAVIGATION_PAUSED_ON
166.851	AVOID_ACTIVE_ON
168.851	NAVIGATION_PAUSED_OFF
168.852	AVOID_ACTIVE_OFF
170.05200000000002	NAVIGATION_PAUSED_ON
170.05200000000002	AVOID_ACTIVE_ON
174.40200000000002	NAVIGATION_PAUSED_OFF
174.40200000000002	AVOID_ACTIVE_OFF
176.45100000000002	NAVIGATION_PAUSED_ON
176.45100000000002	AVOID_ACTIVE_ON
178.45100000000002	NAVIGATION_PAUSED_OFF
178.452	AVOID_ACTIVE_OFF
179.20100000000002	NAVIGATION_PAUSED_ON
179.20100000000002	AVOID_ACTIVE_ON
181.202	NAVIGATION_PAUSED_OFF
181.202	AVOID_ACTIVE_OFF
183.651	NAVIGATION_PAUSED_ON
183.651	AVOID_ACTIVE_ON
185.651	NAVIGATION_PAUSED_OFF
185.65200000000002	AVOID_ACTIVE_OFF
186.45100000000002	NAVIGATION_PAUSED_ON
186.452	AVOID_ACTIVE_ON
188.452	NAVIGATION_PAUSED_OFF
188.452	AVOID_ACTIVE_OFF
189.20000000000002	NAVIGATION_PAUSED_ON
189.20100000000002	AVOID_ACTIVE_ON
191.202	NAVIGATION_PAUSED_OFF
191.202	AVOID_ACTIVE_OFF
192.251	NAVIGATION_PAUSED_ON
192.252	AVOID_ACTIVE_ON
194.252	NAVIGATION_PAUSED_OFF
194.252	AVOID_ACTIVE_OFF
195.651	NAVIGATION_PAUSED_ON
195.65200000000002	AVOID_ACTIVE_ON
197.651	NAVIGATION_PAUSED_OFF
197.651	AVOID_ACTIVE_OFF
198.851	NAVIGATION_PAUSED_ON
198.851	AVOID_ACTIVE_ON
200.852	NAVIGATION_PAUSED_OFF
200.853	AVOID_ACTIVE_OFF
202.05200000000002	NAVIGATION_PAUSED_ON
202.05200000000002	AVOID_ACTIVE_ON
204.05100000000002	NAVIGATION_PAUSED_OFF
204.05200000000002	AVOID_ACTIVE_OFF
205.45200000000003	NAVIGATION_PAUSED_ON
205.45200000000003	AVOID_ACTIVE_ON
207.45200000000003	NAVIGATION_PAUSED_OFF
207.45200000000003	AVOID_ACTIVE_OFF
208.20100000000002	NAVIGATION_PAUSED_ON
208.20100000000002	AVOID_ACTIVE_ON
210.20100000000002	NAVIGATION_PAUSED_OFF
210.20200000000003	AVOID_ACTIVE_OFF
211.45200000000003	NAVIGATION_PAUSED_ON
211.45200000000003	AVOID_ACTIVE_ON
215.60100000000003	NAVIGATION_PAUSED_OFF
215.60100000000003	AVOID_ACTIVE_OFF
216.45100000000002	NAVIGATION_PAUSED_ON
216.45100000000002	AVOID_ACTIVE_ON
220.20100000000002	NAVIGATION_PAUSED_OFF
220.20200000000003	AVOID_ACTIVE_OFF
220.95100000000002	NAVIGATION_PAUSED_ON
220.95200000000003	AVOID_ACTIVE_ON
224.80200000000002	NAVIGATION_PAUSED_OFF
224.80200000000002	AVOID_ACTIVE_OFF
225.55300000000003	NAVIGATION_PAUSED_ON
225.554	AVOID_ACTIVE_ON
229.20000000000002	NAVIGATION_PAUSED_OFF
229.20000000000002	AVOID_ACTIVE_OFF
229.95200000000003	NAVIGATION_PAUSED_ON
229.95200000000003	AVOID_ACTIVE_ON
233.602	NAVIGATION_PAUSED_OFF
233.603	AVOID_ACTIVE_OFF
234.35100000000003	NAVIGATION_PAUSED_ON
234.352	AVOID_ACTIVE_ON
238.001	NAVIGATION_PAUSED_OFF
238.002	AVOID_ACTIVE_OFF
238.751	NAVIGATION_PAUSED_ON
238.752	AVOID_ACTIVE_ON
242.20100000000002	NAVIGATION_PAUSED_OFF
242.20100000000002	AVOID_ACTIVE_OFF
242.95200000000003	NAVIGATION_PAUSED_ON
242.95200000000003	AVOID_ACTIVE_ON
246.40200000000002	NAVIGATION_PAUSED_OFF
246.40300000000002	AVOID_ACTIVE_OFF
247.25400000000002	NAVIGATION_PAUSED_ON
247.25400000000002	AVOID_ACTIVE_ON
250.4	NAVIGATION_PAUSED_OFF
250.4	AVOID_ACTIVE_OFF
261.202	DEPART_REQUEST_RECEIVED
261.202	DEPART_START
262.25	DEPART_COMPLETE
