time_s	x	y	yaw	linear_vel	angular_vel
48.649	-20.001601780170756	0.011002149669516967	0.03497056094943391	-0.029889980982061026	-0.5999928214432899
49.0	-20.00988773027894	-0.034270927250654996	-0.11758081669485382	-0.01551671809157148	-0.5631814095556179
50.0	-20.018773642839406	-0.08516419538689882	-0.30868236005122623	0.025415845682920518	-0.4353687456227185
51.0	-19.62078373344233	-0.24130018216639215	-0.33840926527785425	0.2396477010748476	-0.0035855310574436916
52.0	-19.462180160041797	-0.2821781826345305	-0.3124554409350978	0.09486552488735858	0.05113112402322819
53.0	-19.378231357034934	-0.30865911260168694	-0.3205669569037664	0.07350985215200771	0.01661428357139124
54.0	-19.30367487092738	-0.33595616682999174	-0.3378741969315362	0.10399951611722388	-0.0928670544085625
55.0	-19.271900579598988	-0.34940265364524764	-0.3495063202836172	0.0	0.0
56.0	-19.271900579598988	-0.34940265364524764	-0.3495063202836172	0.0	0.0
57.0	-19.271900579598988	-0.34940265364524764	-0.3495063202836172	0.0	0.0
58.00000000000001	-19.271900579598988	-0.34940265364524764	-0.3495063202836172	0.0	0.0
59.00000000000001	-19.271900579598988	-0.34940265364524764	-0.3495063202836172	0.0	0.0
60.00000000000001	-19.37123657727341	-0.3124694844814482	-0.3518342665300831	-0.18749870525587442	0.0
61.00000000000001	-19.374756838501472	-0.31117717374334125	-0.3518343064932142	-0.1874987086962435	0.0
62.00000000000001	-19.380095614454447	-0.3037610271414741	-0.7876016024982507	-0.00027274360521987865	-0.23362596119154738
63.00000000000001	-19.33289157169792	-0.3430264475127117	-0.9169374306940232	0.1313547052764924	-0.28938910098632703
64.0	-19.171952227593373	-0.5791249636615136	-0.9402266974889286	0.3749698825002371	0.10492995190254768
65.001	-19.060629130864033	-0.7494198715109299	-0.947390810682768	0.0006258911437544839	0.0625139505355937
66.0	-18.98844238345622	-0.8510245118908417	-0.9362785543804135	0.3751192910631805	0.12142601241652436
67.0	-18.911197364628105	-0.9706223223350027	-0.9357365688318169	0.08170528337253366	-0.00819612987390379
68.0	-18.798631892568505	-1.1280323865341038	-0.9197313346517966	0.10006807132738609	-0.19909031465062327
69.0	-18.667955150808634	-1.2875091698056822	-0.8711817048672494	0.046797386480649586	0.031671611528187996
70.0	-18.604763393482788	-1.357190592329826	-0.8576428256811229	0.1267831012190316	0.06912862031464058
71.0	-18.522611388059985	-1.4381122390441325	-0.8273136975113677	0.12565926034252325	0.02965082808756489
72.0	-18.42441100266381	-1.5323333609734766	-0.8054651373666771	0.0867985073711067	0.0020512100240447978
73.0	-18.421604785117324	-1.5352397516900604	-0.8053312882638312	0.0	0.0
74.0	-18.421604785117324	-1.5352397516900604	-0.8053312882638312	0.0	0.0
75.0	-18.421604785117324	-1.5352397516900604	-0.8053312882638312	0.0	0.0
76.0	-18.421604785117324	-1.5352397516900604	-0.8053312882638312	0.0	0.0
77.0	-18.421604785117324	-1.5352397516900604	-0.8053312882638312	0.0	0.0
78.0	-18.541682335791577	-1.4103961589046285	-0.8052027863119239	-0.187499107340456	0.0
79.0	-18.58725026555154	-1.4267894120023257	-0.6024518425070294	-0.0432070751828728	0.29408384910212865
80.0	-18.5076783709506	-1.459598226035457	-0.42875844418202275	0.37773959994123274	-0.05998743274140657
81.0	-18.160757092668504	-1.6391634479846482	-0.46425918963672924	0.37499915207645007	-0.017314446552489628
82.0	-17.934440715493984	-1.75643465227657	-0.4723248821437247	0.3749989705135933	-0.014417783281946619
83.0	-17.922765670143193	-1.6496107768701322	-0.03380569082887308	-0.02860343832195294	0.12660888592780606
84.0	-17.81485539394114	-1.6506355176660443	-0.026718927562992822	0.11101535922324138	0.004949760447046352
85.0	-17.74576013092823	-1.6517472450061685	-0.02458614615228508	0.11249814618129506	0.0
86.0	-17.66091097518556	-1.7154910184796937	-0.2405237365105482	0.06102064024455417	-0.4713602513966295
87.0	-17.65017609882631	-1.7442243329461122	-0.3906398467095926	-0.09407508673602125	0.326562140519142
88.0	-17.635523949875584	-1.6623501287798244	-0.14045098450161855	0.11249832251378063	0.0
89.0	-17.504082653900664	-1.6809311294585647	-0.14044449256730934	0.1124987971826118	0.0
90.0	-17.43940715629736	-1.7645764699436388	-0.43825489647452237	0.029404589082189885	-0.39396924760393354
91.0	-17.45400837367324	-1.6892661175776555	-0.3144337334369692	0.11249875972193857	0.0
92.0	-17.357723436649323	-1.720579659579581	-0.31443170351184124	0.11249865695932248	0.0
93.0	-17.23148314881544	-1.761634995597116	-0.31442925031138397	0.1124987365067254	0.0
94.0	-17.19106485533239	-1.8035880662421495	-0.5735759942608633	0.0579109479414882	-0.3060385562239798
95.0	-17.180041798170606	-1.8053528569802328	-0.6381242991305166	0.03672812655021913	-0.2824320665181447
96.0	-17.064523453634276	-1.8877290019374422	-0.6794685279831568	1.699492835683806e-05	-0.0045577557960358875
97.0	-17.03449686630758	-1.9096052716527943	-0.677517090276378	-8.76248389742843e-06	-0.0069161983219026505
98.0	-16.976826340537	-1.956484307997962	-0.6787926801434877	0.08185035244657879	-0.016318100645421354
99.0	-16.964892182079094	-1.9672155129009579	-0.6818071156654812	0.0	0.0
100.0	-16.964892182079094	-1.9672155129009579	-0.6818071156654812	0.0	0.0
101.0	-16.964892182079094	-1.9672155129009579	-0.6818071156654812	0.0	0.0
102.0	-16.964892182079094	-1.9672155129009579	-0.6818071156654812	0.0	0.0
103.0	-16.964892182079094	-1.9672155129009579	-0.6818071156654812	0.0	0.0
104.0	-17.109435999884337	-1.849264796633474	-0.683952665894373	0.0	0.0
105.0	-17.15053497800223	-1.8212815954260506	-0.42255676744177306	-0.07209213387587733	0.3676158621987816
106.0	-17.07614045456167	-1.7570964745183912	-0.1251734452266693	0.34209420743883034	0.04828920810135399
