time_s	x	y	yaw	linear_vel	angular_vel
13.0	-19.43351226458221	0.13161009812375282	0.11248234549597977	0.21992164512401957	-0.029531265147273483
14.0	-19.406432862624285	0.13329591347274408	0.10872025387740637	0.0	0.0
15.000000000000002	-19.406432862624285	0.13329591347274408	0.10872025387740637	0.0	0.0
16.0	-19.406432862624285	0.13329591347274408	0.10872025387740637	0.0	0.0
17.0	-19.406432862624285	0.13329591347274408	0.10872025387740637	0.0	0.0
18.0	-19.406432862624285	0.13329591347274408	0.10872025387740637	0.0	0.0
19.0	-19.512720662506624	0.12675952241198982	0.1306044629063577	-0.1759623158347521	0.03845842564054002
20.0	-19.55185598833764	-0.037065766842172006	-0.47226484152097653	0.11621619428383016	-0.6663180716853961
21.0	-19.493135776828343	-0.003708055913139593	-0.8347127965533078	-0.047771551797555746	-0.4961296513477961
22.0	-19.49262349050635	0.025295774816203574	-0.9934889188185374	-0.083082335431658	-0.5294394633060941
23.0	-19.30635952279257	-0.8218539234616963	-1.2979773738685494	0.4539264319333469	-0.21288796567772428
24.0	-19.227640552076835	-1.1457902102988515	-1.3049064819544773	0.36206723333981483	0.29833743990226175
25.0	-19.18124745363416	-1.2638762333884608	-1.243189178928925	0.06921106856472667	-0.03929147240548593
26.0	-19.18135541942943	-1.2644013979907165	-1.2437597254644106	0.0	0.0
27.0	-19.18135541942943	-1.2644013979907165	-1.2437597254644106	0.0	0.0
28.0	-19.18135541942943	-1.2644013979907165	-1.2437597254644106	0.0	0.0
29.000000000000004	-19.18135541942943	-1.2644013979907165	-1.2437597254644106	0.0	0.0
30.000000000000004	-19.183742057630706	-1.25833238554075	-1.2412238922188927	-0.1872290495624119	0.000557752866082741
31.000000000000004	-19.239975574769733	-1.0902399103324054	-1.2330781032611586	0.03697881686622169	0.2406001227525639
32.0	-19.21910178878803	-1.112604332622282	-1.0530114161885207	0.0855680426620716	0.568105878726506
33.0	-19.312906500863182	-1.1637467236828587	-0.3768259447659786	-0.10495672324272716	0.6562979231965625
34.0	-19.308760241081774	-0.9489794161578892	0.6435175194981474	0.0393139073560118	0.537539855619096
35.0	-19.264235237090737	-0.996417798528223	0.9085514024676105	-0.03585129979300664	0.4825396533077447
36.0	-19.329521165588154	-0.7246089855983836	1.5255710881176243	0.6945458544481677	0.05272175758664599
37.0	-19.291781580675792	0.048471361090245677	1.5174095633719402	0.7090976334315486	0.039807665611300495
38.0	-19.24802577860219	0.7320243242303816	1.499770684822705	0.7366589116257618	-0.18766032914143402
39.0	-19.222149141096914	1.1011539392096543	1.4940987438826447	0.6444843260161898	0.08306791494355131
40.0	-19.151399316349757	1.7626069285371189	1.4366886892381097	0.1677853363381146	0.03898668576656593
41.0	-19.115516998220674	1.9047518928365161	1.376719888542741	0.0	0.0
42.0	-19.115516998227278	1.9047518928692497	1.376719888607088	0.0	0.0
43.0	-19.115516998227278	1.9047518928692497	1.376719888607088	0.0	0.0
44.0	-19.115516998227278	1.9047518928692497	1.376719888607088	0.0	0.0
45.0	-19.115516998227278	1.9047518928692497	1.376719888607088	0.0	0.0
46.0	-19.11603475653333	1.9029598517449344	1.3751057029094613	-0.11426711214700555	-0.05627662896061135
47.0	-19.13263379714676	1.7302336802033702	1.2716989268164711	0.13198489665900207	-0.871611501873855
48.0	-19.098922358480998	1.7956219736818042	0.79786900584853	0.006689382742567795	-0.4970269431863309
49.0	-19.018779663650186	1.8241219696133528	0.3440606372218365	0.7446402492098632	0.10724285854180807
50.0	-18.313984017531265	1.9764896398113019	0.23186811874612287	0.5554242820943165	-0.2199536024672836
51.0	-17.603067086084952	2.1127732477038266	0.22303378801087684	0.5279766755615505	-0.20076921536189318
52.0	-17.15769198867548	2.196505915561904	0.21317883724505265	0.7356765137377338	0.32100785501655804
53.0	-16.475828146750462	2.351857145084381	0.2378498612114713	0.8508945468704235	0.22154753340207772
54.0	-15.892233822232884	2.522711898463762	0.28885100559900645	0.8611859014900128	0.17396738479033932
55.0	-15.485800986817804	2.681610141311562	0.42173982932379056	0.2631728090750059	0.07002835519282563
56.0	-15.311244808159485	2.783416235610637	0.5695706539943374	-0.00032314051724207716	0.011170563988140342
57.0	-15.212207779858684	2.9429077276614906	0.844558071800386	0.2074417279029767	0.31861495662383665
58.00000000000001	-15.182984873623848	3.016626837370342	0.9444372749390639	0.0	0.0
59.00000000000001	-15.182984873635991	3.01662683737153	0.9444372747948994	0.0	0.0
60.00000000000001	-15.182984873635991	3.01662683737153	0.9444372747948994	0.0	0.0
61.00000000000001	-15.182984873635991	3.01662683737153	0.9444372747948994	0.0	0.0
62.00000000000001	-15.182984873635991	3.01662683737153	0.9444372747948994	0.0	0.0
63.00000000000001	-15.215526099475614	2.9727753050911043	0.9419874837383917	-0.18749914862535882	0.0
64.0	-15.294067333272828	2.8833492325082903	0.8509496848768898	0.05836832124068488	-0.5102602331624109
65.0	-15.341385009244984	2.9118498163513498	0.5590413124777981	-0.11783680716777131	-0.619268530168409
66.0	-15.396848638141593	2.7111089349028337	-0.2119043472432797	0.011090932003751393	-1.020570859164958
67.0	-14.569491082619942	2.475862068615467	-0.1755895958429473	0.6752311353082805	0.2009590801697624
68.0	-13.917559571713383	2.4110049738611945	-0.11120316747071612	0.7469465991508782	-0.08490297998168914
69.0	-13.518764882980028	2.3627955630121535	-0.14249605596364265	0.1046802782795766	0.024292382180245587
70.0	-13.43643619274187	2.342191849974253	-0.1757658188624375	1.4246937897885541e-11	-1.9054892926506152e-09
71.0	-13.436436192740459	2.3421918499729117	-0.1757658189076204	0.0	0.0
72.0	-13.436436192740459	2.3421918499729117	-0.1757658189076204	0.0	0.0
73.0	-13.436436192740459	2.3421918499729117	-0.1757658189076204	0.0	0.0
74.0	-13.436436192740459	2.3421918499729117	-0.1757658189076204	0.0	0.0
75.0	-13.50015331179506	2.353140726515724	-0.17986442281732254	-0.18749835397541995	0.0
76.0	-13.618585545896835	2.3746743815791147	-0.1798678459641285	0.0	0.0
77.0	-13.570664027677807	2.3029547186485066	-0.8987700442125921	-0.07767357853084678	-0.5382922848444449
78.0	-13.678919307927309	2.366920593718079	-1.4766153561284625	-0.06680756822803456	-1.1357676728871362
79.0	-13.650713591461155	2.3695122847575276	-1.4035501683456817	0.07972253744288711	-0.10328327827687375
80.0	-13.78793390861822	1.9530874455854437	-1.6670680553707793	0.7401629524075328	0.12525652022632955
81.0	-13.807021473910744	1.3279646552538855	-1.6023888699600992	0.7146197244989401	0.04168406412382531
82.0	-13.813814855568918	0.4258106578023829	-1.5764838887884565	0.727329552960309	0.007376670017284634
83.0	-13.805147564591374	0.00209151454085047	-1.5526689558694045	0.2869747142299961	0.04938291299703659
84.0	-13.799182762422017	-0.14791712198551574	-1.5433979175398251	0.0	0.0
85.0	-13.799182762422017	-0.14791712198551574	-1.5433979175398251	0.0	0.0
86.0	-13.799182762422017	-0.14791712198551574	-1.5433979175398251	0.0	0.0
87.0	-13.799182762422017	-0.14791712198551574	-1.5433979175398251	0.0	0.0
88.0	-13.799182762422017	-0.14791712198551574	-1.5433979175398251	0.0	0.0
89.0	-13.799256479118032	-0.14574185699001543	-1.5431521042446303	-0.13000837869892026	0.008470838172879728
90.0	-13.791114536256746	0.03754481035333649	-1.4986766924723403	0.028104497268447427	0.6873897399285708
91.0	-13.698614997536678	0.057551752878756225	-1.2066403624032036	-0.1342401297948232	-0.7450758566398277
92.0	-13.69637847877333	-0.549542579921124	-1.4871147971005527	0.6251149497771411	-0.07903089319506248
93.0	-13.686480068501593	-0.7517214491791764	-1.5003718455962953	-0.004599057796258362	0.0316477748033464
94.0	-13.697757651496236	-0.7446384021848309	-1.4626268899558954	-0.012726792478290432	0.04784828598716508
95.0	-13.672559971743583	-0.7275516767598355	-1.3473889615502863	-0.05705434659537515	0.24724557465851782
96.0	-13.585611033144843	-0.66259981619661	-0.9734424717027781	0.036836214769678535	0.2697502537463277
97.0	-13.600047764939891	-0.7099700196193655	-0.729458133255212	-0.0024434640450822047	0.16802319861929443
98.0	-13.629994267644607	-0.7259437529442228	-0.5635850225503648	-0.027005863412008696	0.20189461281596577
99.0	-13.589230458582977	-0.7428518460607991	-0.44129867329372907	0.11249873595296814	0.0
100.0	-13.538369852917143	-0.7668766384790598	-0.4412979385711623	0.11249875156027651	0.0
101.0	-13.461061685827435	-0.8033942571879349	-0.4412968203640619	0.11249876938867713	0.0
102.0	-13.322720594197175	-0.8687413740811759	-0.44129481108983154	0.11249890090444263	0.0
103.0	-13.312408647529073	-0.8715671922691653	-0.4531414142308893	0.026334922311410776	-0.46883924401294275
104.0	-13.406980598550822	-0.776468882880425	-1.0175592595520997	-0.09963432052636806	0.2192580064236483
105.0	-13.460003166688198	-0.6884477708432976	-0.7923573234216187	-0.12035566385868748	0.27653545195371404
106.0	-13.388817604480373	-0.7473124569730427	-0.7448217862261006	0.11249922413482094	0.0
107.0	-13.30610716935808	-0.8235687546484565	-0.7448210741847646	0.11249887279130946	0.0
108.0	-13.220088415233683	-0.9028751376237831	-0.7448204200745028	0.11249889714420921	0.0
109.0	-13.164021888590677	-0.9046311375012009	-0.8903792116897341	-0.028153137993139583	-0.4728662894566167
110.0	-13.267304414124913	-0.8238757959158979	-1.4083604005556924	-0.017485922333629035	0.06864404738718786
111.0	-13.278498105325914	-0.8152400639111692	-1.3704234368117048	-0.025160169469249632	0.08436548507133865
112.0	-13.278967648650633	-0.8050404513086368	-1.098562505854372	0.04675854659332824	0.26016183726694797
113.0	-13.250610216390083	-0.8588590196549419	-0.9645196581010402	0.11249885819275203	0.0
114.0	-13.183942978594976	-0.9550058625716604	-0.9645203722151654	0.11249889649636628	0.0
115.00000000000001	-13.121121945541757	-1.0456057798122866	-0.9645209189053163	0.1124989409897987	0.0
116.00000000000001	-13.063972096144068	-1.12836229838204	-0.964359422002299	0.00015217156635683607	-0.0005007507663528061
117.00000000000001	-13.154089692163767	-1.09182501140682	-1.4664905346783208	0.03581759285469604	0.00015696418368019795
118.00000000000001	-13.170675821821279	-1.0797539914225038	-1.4096352757361525	-0.0179080309485983	0.06984941284965529
119.00000000000001	-13.180401084199193	-1.062649198463564	-1.2753972205618935	0.03222510750316075	0.22560296916338257
120.00000000000001	-13.16260544243901	-1.0730637746273861	-1.173109782293714	0.039034187028594326	0.24189527859722254
121.00000000000001	-13.09532648802338	-1.208683707153813	-1.1278035286510881	0.11249885802393358	0.0
122.00000000000001	-13.062535596265535	-1.2777987632224908	-1.1278044863473144	0.1124989142265245	0.0
